"Reference","Value","Footprint","MPN","LCSC","Description","QUANTITY"
"C1,C2,C101,C201,C301","100n/50V","Capacitor_SMD:C_0805_2012Metric","","","LM74700 cathode bypass,LM74700 charge-pump cap,bootstrap, datasheet 100 nF","5"
"C3","100n/16V","Capacitor_SMD:C_0805_2012Metric","","","INA226 supply bypass","1"
"C41","220u/35V","Capacitor_SMD:CP_Elec_10x10.5","","","input bulk","1"
"C42","470u/16V","Capacitor_SMD:CP_Elec_10x10.5","","","servo stall reservoir","1"
"C102,C103,C202,C203,C302,C303","10u/50V","Capacitor_SMD:C_1210_3225Metric","","","input ceramic","6"
"C104-C106,C204-C206,C304-C306","22u/25V","Capacitor_SMD:C_1210_3225Metric","","","output ceramic","9"
"C107","4.3n","Capacitor_SMD:C_0805_2012Metric","","","loop zero, Eq. 18","1"
"C108","18p","Capacitor_SMD:C_0805_2012Metric","","","loop pole, Eq. 19","1"
"C109,C209,C309","10n/25V","Capacitor_SMD:C_0805_2012Metric","","","soft start, 4 ms","3"
"C207","4.8n","Capacitor_SMD:C_0805_2012Metric","","","loop zero, Eq. 18","1"
"C208","24p","Capacitor_SMD:C_0805_2012Metric","","","loop pole, Eq. 19","1"
"C307","4.7n","Capacitor_SMD:C_0805_2012Metric","","","loop zero, Eq. 18","1"
"C308","35p","Capacitor_SMD:C_0805_2012Metric","","","loop pole, Eq. 19","1"
"C1010,C2010,C3010","2u2/16V","Capacitor_SMD:C_0805_2012Metric","","","loop series cap","3"
"C1011,C2011,C3011","10n/50V","Capacitor_SMD:C_0805_2012Metric","","","stagger start, ~8 ms apart","3"
"D1","SMBJ22A","Diode_SMD:D_SMB","","C13964","TVS, 22 V standoff, clamps motor regen","1"
"D2-D4","green","LED_SMD:LED_0805_2012Metric","","","rail present","3"
"F1","10A blade","Fuse:Fuse_Blade_ATO_directSolder","","","ATO blade, the one user-serviceable fuse","1"
"F2","1A T","Fuse:Fuseholder_Clip-5x20mm_Keystone_3512P_Inline_P23.62x7.27mm_D1.02x2.41x1.02x1.57mm_Horizontal","","","SICK requires an external slow-blow on the lidar","1"
"H1-H4","M3","MountingHole:MountingHole_3.2mm_M3","","","","4"
"J1","XT90 / 4S LiPo in","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","","","pack input, 24 A rated block","1"
"J2","E-STOP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","short to kill every rail; leave open to run","1"
"J3","I2C / Qwiic","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","","","to the Jetson 40-pin header: 3.3 V, SDA, SCL, GND","1"
"J4","Jetson 10V","Connector_BarrelJack:BarrelJack_Horizontal","","","5.5 x 2.5 mm centre positive","1"
"J5","TiM561 10V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","","","M12 brown = pin 1 +V, blue = pin 3 0 V","1"
"J6","servo 7.4V","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","V+ and GND from this board; signal passes through from the VESC PPM header","1"
"J7","PPM in","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","from the VESC. Pin 2 is deliberately a dead net: the VESC 5 V must not meet the BEC rail, which is the mistake this connector exists to prevent","1"
"J8","5V out","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","","","USB hub / PCA9685 / fan","1"
"L1-L3","10uH/15.5A","Inductor_SMD:L_APV_APH1265","SRP1265A-100M","C840531","shielded power inductor","3"
"Q1","ASS053N06Q1M-R","Package_SO:PowerPAK_SO-8_Single","ASS053N06Q1M-R","C53896939","60 V 5.5 mohm N-FET, source to pack, drain to load","1"
"R1,R104,R204,R304","100k","Resistor_SMD:R_0805_2012Metric","","","enable pull-up to VIN,ideal-diode enable pull-up","4"
"R2","5m/2W","Resistor_SMD:R_2512_6332Metric","","C2962780","INA226 shunt, 40 mV at 8 A","1"
"R3,R4,R105,R205,R305","4k7","Resistor_SMD:R_0805_2012Metric","","","I2C pull-up,LED series","5"
"R101","255k","Resistor_SMD:R_0805_2012Metric","","","feedback top","1"
"R102,R202,R302","22k1","Resistor_SMD:R_0805_2012Metric","","","feedback bottom","3"
"R103","31.6k","Resistor_SMD:R_0805_2012Metric","","","loop resistor, Eq. 17","1"
"R201","182k","Resistor_SMD:R_0805_2012Metric","","","feedback top","1"
"R203","23.2k","Resistor_SMD:R_0805_2012Metric","","","loop resistor, Eq. 17","1"
"R301","115k","Resistor_SMD:R_0805_2012Metric","","","feedback top","1"
"R303","15.8k","Resistor_SMD:R_0805_2012Metric","","","loop resistor, Eq. 17","1"
"U1","LM74700QDBVRQ1","Package_TO_SOT_SMD:SOT-23-6","LM74700QDBVRQ1","C2941042","ideal diode controller, reverse battery","1"
"U2","INA226AIDGSR","Package_SO:MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm_ThermalVias","INA226AIDGSR","C49851","pack voltage + current telemetry","1"
"U3-U5","AP64501SP-13","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","AP64501SP-13","C2071517","synchronous buck, 10.0 V at 3.3 A,synchronous buck, 5.0 V at 3.0 A,synchronous buck, 7.4 V at 3.0 A","3"
